epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
11,0.3604,0.8529,0.8526,0.4657,0.8154,0.7662,1.00e-03
12,0.3323,0.8691,0.8689,0.4939,0.8121,0.7438,1.00e-03
13,0.3183,0.8771,0.8770,0.4750,0.8128,0.7650,1.00e-03
14,0.3010,0.8845,0.8845,0.4867,0.7983,0.7592,1.00e-03
15,0.2896,0.8913,0.8912,0.4430,0.8403,0.7758,1.00e-03
16,0.2783,0.8980,0.8978,0.5264,0.7981,0.7546,1.00e-03
17,0.2648,0.9041,0.9041,0.4155,0.8452,0.7923,1.00e-03
18,0.2545,0.9109,0.9108,0.4329,0.8400,0.7744,1.00e-03
19,0.2444,0.9156,0.9156,0.4770,0.8157,0.7642,1.00e-03
20,0.2380,0.9195,0.9195,0.4240,0.8592,0.7997,1.00e-03
21,0.2506,0.9141,0.9140,0.4507,0.8418,0.7837,1.00e-03
22,0.2386,0.9183,0.9182,0.4244,0.8475,0.7855,1.00e-03
23,0.2376,0.9186,0.9185,0.4596,0.8356,0.7801,1.00e-03
24,0.2330,0.9220,0.9220,0.4281,0.8426,0.7875,1.00e-03
25,0.2279,0.9247,0.9247,0.4661,0.8330,0.7779,1.00e-03
26,0.2220,0.9268,0.9267,0.4315,0.8439,0.7894,5.00e-04
27,0.1646,0.9566,0.9566,0.4064,0.8659,0.8108,5.00e-04
28,0.1496,0.9642,0.9642,0.3990,0.8656,0.8140,5.00e-04
29,0.1487,0.9659,0.9659,0.3819,0.8812,0.8349,5.00e-04
30,0.1426,0.9678,0.9678,0.4510,0.8519,0.8058,5.00e-04
31,0.1453,0.9672,0.9672,0.4147,0.8703,0.8207,5.00e-04
32,0.1406,0.9677,0.9676,0.4165,0.8693,0.8175,5.00e-04
33,0.1423,0.9680,0.9680,0.4368,0.8623,0.8109,5.00e-04
34,0.1371,0.9708,0.9708,0.4226,0.8656,0.8133,5.00e-04
35,0.1390,0.9693,0.9693,0.4484,0.8638,0.8136,2.50e-04
36,0.1192,0.9787,0.9787,0.4081,0.8783,0.8269,2.50e-04
37,0.1127,0.9821,0.9821,0.4244,0.8732,0.8245,2.50e-04
38,0.1136,0.9827,0.9827,0.4217,0.8778,0.8284,2.50e-04
39,0.1128,0.9825,0.9825,0.4197,0.8778,0.8273,2.50e-04
