epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.9792,0.5129,0.5054,0.6767,0.6826,0.6023,1.00e-03
2,0.8049,0.6160,0.6086,0.5889,0.7077,0.6458,1.00e-03
3,0.7199,0.6583,0.6538,0.5211,0.7626,0.6701,1.00e-03
4,0.6580,0.6928,0.6901,0.5512,0.7476,0.6900,1.00e-03
5,0.6054,0.7243,0.7226,0.5296,0.7608,0.6710,1.00e-03
6,0.5572,0.7470,0.7459,0.4993,0.7769,0.7028,1.00e-03
7,0.5188,0.7692,0.7684,0.4873,0.7963,0.7392,1.00e-03
8,0.4749,0.7933,0.7927,0.4388,0.8154,0.7496,1.00e-03
9,0.4408,0.8129,0.8123,0.4263,0.8367,0.7695,1.00e-03
10,0.4124,0.8274,0.8269,0.4574,0.8118,0.7497,1.00e-03
