epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.9464,0.5276,0.5224,0.7971,0.6236,0.5387,1.00e-03
2,0.7678,0.6331,0.6290,0.5546,0.7396,0.6575,1.00e-03
3,0.6846,0.6788,0.6768,0.5332,0.7367,0.6734,1.00e-03
4,0.6178,0.7166,0.7152,0.5692,0.7429,0.6738,1.00e-03
5,0.5676,0.7438,0.7432,0.4938,0.7841,0.7159,1.00e-03
6,0.5244,0.7685,0.7679,0.4946,0.7849,0.7251,1.00e-03
7,0.4839,0.7888,0.7885,0.4406,0.8196,0.7581,1.00e-03
8,0.4440,0.8095,0.8091,0.4223,0.8276,0.7569,1.00e-03
9,0.4139,0.8253,0.8251,0.4968,0.8022,0.7448,1.00e-03
10,0.3871,0.8392,0.8389,0.4335,0.8356,0.7781,1.00e-03
