epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.9468,0.5299,0.5238,0.5956,0.7243,0.6416,1.00e-03
2,0.7679,0.6326,0.6287,0.5734,0.7272,0.6249,1.00e-03
3,0.6824,0.6783,0.6761,0.5007,0.7810,0.7017,1.00e-03
4,0.6086,0.7194,0.7183,0.5208,0.7580,0.7021,1.00e-03
5,0.5618,0.7447,0.7439,0.4451,0.8097,0.7363,1.00e-03
6,0.5164,0.7702,0.7695,0.4363,0.8222,0.7458,1.00e-03
7,0.4781,0.7914,0.7909,0.4766,0.8059,0.7475,1.00e-03
8,0.4382,0.8132,0.8128,0.4776,0.7968,0.7502,1.00e-03
9,0.4031,0.8322,0.8319,0.4544,0.8178,0.7476,1.00e-03
10,0.3799,0.8445,0.8442,0.4643,0.8237,0.7605,1.00e-03
