epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.9464,0.5276,0.5224,0.7971,0.6236,0.5387,1.00e-03
2,0.7678,0.6331,0.6290,0.5546,0.7396,0.6575,1.00e-03
3,0.6846,0.6788,0.6768,0.5332,0.7367,0.6734,1.00e-03
4,0.6178,0.7166,0.7152,0.5692,0.7429,0.6738,1.00e-03
5,0.5676,0.7438,0.7432,0.4938,0.7841,0.7159,1.00e-03
6,0.5244,0.7685,0.7679,0.4946,0.7849,0.7251,1.00e-03
7,0.4839,0.7888,0.7885,0.4406,0.8196,0.7581,1.00e-03
8,0.4440,0.8095,0.8091,0.4223,0.8276,0.7569,1.00e-03
9,0.4139,0.8253,0.8251,0.4968,0.8022,0.7448,1.00e-03
10,0.3871,0.8392,0.8389,0.4335,0.8356,0.7781,1.00e-03
11,0.3625,0.8536,0.8534,0.4363,0.8209,0.7650,1.00e-03
12,0.3424,0.8645,0.8644,0.3977,0.8514,0.7890,1.00e-03
13,0.3244,0.8736,0.8734,0.4424,0.8281,0.7676,1.00e-03
14,0.3093,0.8820,0.8818,0.4500,0.8408,0.7804,1.00e-03
15,0.2995,0.8864,0.8863,0.4345,0.8325,0.7827,1.00e-03
16,0.2857,0.8955,0.8954,0.4285,0.8346,0.7805,1.00e-03
17,0.2734,0.9010,0.9009,0.4442,0.8372,0.7780,1.00e-03
18,0.2674,0.9039,0.9039,0.4258,0.8512,0.7886,5.00e-04
19,0.1928,0.9442,0.9442,0.3960,0.8713,0.8104,5.00e-04
20,0.1773,0.9514,0.9514,0.4293,0.8561,0.8106,5.00e-04
21,0.1710,0.9542,0.9542,0.4229,0.8623,0.8087,5.00e-04
22,0.1681,0.9566,0.9565,0.4093,0.8656,0.8109,5.00e-04
23,0.1598,0.9600,0.9600,0.4205,0.8688,0.8168,5.00e-04
24,0.1585,0.9602,0.9602,0.4270,0.8618,0.8082,5.00e-04
25,0.1584,0.9596,0.9596,0.4123,0.8713,0.8176,5.00e-04
26,0.1543,0.9625,0.9625,0.4184,0.8685,0.8107,5.00e-04
27,0.1514,0.9637,0.9637,0.4053,0.8682,0.8208,5.00e-04
28,0.1526,0.9625,0.9625,0.4233,0.8654,0.8061,5.00e-04
29,0.1499,0.9637,0.9637,0.4383,0.8625,0.8062,5.00e-04
30,0.1501,0.9645,0.9644,0.4369,0.8719,0.8156,5.00e-04
31,0.1489,0.9643,0.9643,0.4452,0.8550,0.8011,5.00e-04
32,0.1435,0.9677,0.9677,0.4732,0.8592,0.8031,5.00e-04
33,0.1432,0.9677,0.9677,0.4508,0.8638,0.8076,2.50e-04
34,0.1222,0.9767,0.9767,0.4278,0.8744,0.8156,2.50e-04
35,0.1150,0.9814,0.9814,0.4374,0.8719,0.8145,2.50e-04
36,0.1163,0.9804,0.9804,0.4350,0.8760,0.8223,2.50e-04
37,0.1145,0.9812,0.9812,0.4458,0.8693,0.8165,2.50e-04
38,0.1137,0.9813,0.9813,0.4178,0.8786,0.8219,2.50e-04
39,0.1135,0.9814,0.9814,0.4391,0.8750,0.8241,2.50e-04
40,0.1103,0.9828,0.9828,0.4408,0.8778,0.8248,2.50e-04
41,0.1117,0.9824,0.9824,0.4330,0.8789,0.8279,2.50e-04
42,0.1137,0.9810,0.9810,0.4394,0.8778,0.8236,2.50e-04
43,0.1099,0.9837,0.9837,0.4438,0.8724,0.8153,2.50e-04
44,0.1089,0.9840,0.9840,0.4565,0.8737,0.8147,2.50e-04
45,0.1103,0.9832,0.9832,0.4422,0.8796,0.8268,2.50e-04
46,0.1103,0.9831,0.9831,0.4363,0.8770,0.8215,2.50e-04
47,0.1101,0.9826,0.9826,0.4499,0.8716,0.8159,1.25e-04
48,0.1030,0.9866,0.9866,0.4396,0.8820,0.8285,1.25e-04
49,0.1015,0.9869,0.9869,0.4317,0.8801,0.8259,1.25e-04
50,0.0993,0.9876,0.9876,0.4360,0.8820,0.8280,1.25e-04
