epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr
1,0.9895,0.5088,0.5019,0.6896,0.6627,0.5772,1.00e-03
2,0.7950,0.6162,0.6129,0.5746,0.7329,0.6555,1.00e-03
3,0.7044,0.6681,0.6663,0.6392,0.7259,0.6434,1.00e-03
4,0.6321,0.7072,0.7059,0.5724,0.7106,0.6820,1.00e-03
5,0.5775,0.7358,0.7350,0.5577,0.7404,0.6953,1.00e-03
6,0.5269,0.7634,0.7629,0.5988,0.7165,0.6725,1.00e-03
7,0.4860,0.7854,0.7850,0.5428,0.7595,0.7242,1.00e-03
8,0.4481,0.8033,0.8030,0.5050,0.7859,0.7373,1.00e-03
9,0.4212,0.8207,0.8204,0.4920,0.8027,0.7366,1.00e-03
10,0.3944,0.8338,0.8336,0.5368,0.7818,0.7249,1.00e-03
